Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
00:30:00.000Z,00:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
03:45:00.000Z,04:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
04:00:00.000Z,04:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
04:15:00.000Z,04:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
04:30:00.000Z,04:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
05:00:00.000Z,05:15:00.000Z,17.05729103088379,,,,,,,,,1,,,,,900000,
05:15:00.000Z,05:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
05:30:00.000Z,05:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
05:45:00.000Z,06:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
06:00:00.000Z,06:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
06:15:00.000Z,06:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
06:30:00.000Z,06:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
06:45:00.000Z,07:00:00.000Z,17.05729103088379,,,,,,,,,16,,,,,900000,
07:00:00.000Z,07:15:00.000Z,17.05729103088379,,,,,,,,,6,,,,,900000,
07:15:00.000Z,07:30:00.000Z,17.05729103088379,,,,,,,,,1,,,,,900000,
07:30:00.000Z,07:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
07:45:00.000Z,08:00:00.000Z,17.057291048335017,,,,,,,,,,,,,,900000,
08:00:00.000Z,08:15:00.000Z,17.057291212785316,,,,,,,,,,,,,,900000,
08:15:00.000Z,08:30:00.000Z,20.14470926879193,30.286846160888672,,,,,4.590659136466138,18.678829193115234,0.5478437542915344,48,,,,1,585879,48875
08:30:00.000Z,08:45:00.000Z,17.057290810161405,,,,,,21.36986140479508,34.75410461425781,0.5009683966636658,,,,,,,
08:45:00.000Z,09:00:00.000Z,20.349694772579856,77.02775275707245,,,,,3.1522333803527913,17.44639015197754,0.5228896737098694,8,,,,,533279,52120
09:00:00.000Z,09:15:00.000Z,17.05729103088379,,,,,,2.1489901747776305,3.3209445476531982,0.6127496957778931,1,,,,,900000,
09:15:00.000Z,09:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
09:30:00.000Z,09:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,
09:45:00.000Z,10:00:00.000Z,17.057291431827014,,,,,,1.4423626137065244,1.6580029726028442,1.0609797239303589,4,,,,,783817,
10:00:00.000Z,10:15:00.000Z,17.057291126149874,,,,,,,,,,,,,,900000,
10:15:00.000Z,10:30:00.000Z,17.057291126149874,,,,,,,,,,,,,,900000,
10:30:00.000Z,10:45:00.000Z,17.057291126149874,,,,,,,,,,,,,,900000,
10:45:00.000Z,11:00:00.000Z,17.057290848158175,,,,,,,,,35,,,,,799920,
11:00:00.000Z,11:15:00.000Z,17.05728959118432,,,,,,,,,4,,,,,900000,
11:15:00.000Z,11:30:00.000Z,17.05728959118432,,,,,,,,,6,,,,,900000,
