Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms)
13:00:00.000Z,13:15:00.000Z,16.97916603088379,33.79140090942383,,,,,0.31655701994895935,0.31878677010536194,0.31432726979255676,73,,,,,900000,
13:15:00.000Z,13:30:00.000Z,16.97916603088379,16.576913833618164,,,,,0.2804322838783264,0.2804322838783264,0.2804322838783264,53,,,,,900000,
13:30:00.000Z,13:45:00.000Z,16.97916603088379,,,,,,,,,40,,,,,900000,
13:45:00.000Z,14:00:00.000Z,16.97916603088379,,,,,,,,,2,,,,,900000,
14:00:00.000Z,14:15:00.000Z,16.979165999078056,,,,,,,,,2,,,,,900000,
14:15:00.000Z,14:30:00.000Z,16.97916596704676,,,,,,,,,,,,,,900000,
14:30:00.000Z,14:45:00.000Z,16.97916536027079,,,,,,,,,32,,,,,816649,
14:45:00.000Z,15:00:00.000Z,16.979164834737897,89.26030540466309,,,,,0.770232612152912,0.8907040953636169,0.31878677010536194,152,,,,3,900000,
15:00:00.000Z,15:15:00.000Z,16.979164834737897,41.442283630371094,,,,,0.6655150055885315,0.6655150055885315,0.6655150055885315,72,,,,1,900000,
15:15:00.000Z,15:30:00.000Z,31.46055210363672,190.37201364631522,-34.6125063,19.3689347,-34.6124034,19.3689522,0.7593679293910733,1.0908832550048828,0.37032899260520935,315,,,,3,672963,227037
15:30:00.000Z,15:45:00.000Z,44.324435521788466,375.1276745021833,-34.6116615,19.3681657,-34.6116615,19.3681657,0.6115578329858316,1.0812474489212036,0.3187867999076843,580,,,,8,471285,428715
15:45:00.000Z,16:00:00.000Z,16.97916467703407,20.402355194091797,,,,,9.622044895249347,20.899595260620117,0.31878677010536194,32,,,,,150042,
16:00:00.000Z,16:15:00.000Z,16.979164456019554,,,,,,9.943363932609026,22.885156631469727,1.5222493410110474,,,,,,,
16:15:00.000Z,16:30:00.000Z,20.807178635657635,129.4274444580078,-34.6078447,19.5518462,-34.6078447,19.5518462,1.4969932203202603,3.7480015754699707,0.3187867999076843,239,,,,4,589756,60015
16:30:00.000Z,16:45:00.000Z,50.45129835570029,453.0306607163295,,,,,0.8513970201844477,1.1669591665267944,0.24989818036556244,714,,,,9,375229,524771
16:45:00.000Z,17:00:00.000Z,41.360254106442014,240.28595212336927,,,,,0.6706596135652153,0.8375703692436218,0.435820072889328,378,,,,6,517757,382243
17:00:00.000Z,17:15:00.000Z,16.97916603088379,,,,,,,,,,,,,,900000,
17:15:00.000Z,17:30:00.000Z,16.97916603088379,,,,,,,,,,,,,,900000,
17:30:00.000Z,17:45:00.000Z,16.97916603088379,,,,,,,,,,,,,,900000,
17:45:00.000Z,18:00:00.000Z,16.979165792345817,,,,,,,,,,,,,,900000,
18:00:00.000Z,18:15:00.000Z,16.979165616241062,,,,,,,,,,,,,,900000,
18:15:00.000Z,18:30:00.000Z,34.06990298372756,111.2445479631424,,,,,0.6544449239604789,0.9309136271476746,0.31878677010536194,207,,,,2,632054,267946
18:30:00.000Z,18:45:00.000Z,16.979166422492685,5.738162517547607,,,,,0.4391339123249054,0.4391339123249054,0.4391339123249054,14,,,,,900000,
18:45:00.000Z,19:00:00.000Z,16.979166422492685,,,,,,,,,2,,,,,900000,
19:00:00.000Z,19:15:00.000Z,18.910490123203964,25.502944946289062,,,,,0.31878677010536194,0.31878677010536194,0.31878677010536194,41,,,,1,869721,30279
19:15:00.000Z,19:30:00.000Z,18.0940493019307,,,,,,,,,,,,,,882521,17479
19:30:00.000Z,19:45:00.000Z,16.979164123535156,,,,,,,,,,,,,,900000,
19:45:00.000Z,20:00:00.000Z,16.979164123535156,,,,,,,,,,,,,,900000,
20:00:00.000Z,20:15:00.000Z,16.979164123535156,,,,,,,,,,,,,,900000,
