Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
00:00:00.000Z,00:15:00.000Z,17.203119017861106,0.28361344537815125,,,,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,17.20311813754635,0.28361344537815125,,,,,,,,,,,,,,,,300000,600000
00:30:00.000Z,00:45:00.000Z,17.203117517324596,0.28361344537815125,,,,,,,,,,,,,,,,720000,180000
00:45:00.000Z,01:00:00.000Z,17.203117517324593,0.28361344537815125,,,,,,,,,,,,,,,,,900000
01:00:00.000Z,01:15:00.000Z,17.20311744885567,0.28361344537815125,,,,,,,,,,,,,,,,420000,480000
01:15:00.000Z,01:30:00.000Z,17.20311737060547,0.28361344537815125,,,,,,,,,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,17.20311737060547,0.28361344537815125,,,,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,17.20311737060547,0.28361344537815125,,,,,3.1512606074102223E-4,3.1512606074102223E-4,3.1512606074102223E-4,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,17.203116925557453,0.28361344537815125,,,,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,17.203116416931152,0.28361344537815125,,,,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.203116624251656,0.28361344537815125,,,,,,,,,,,,,,,,600000,300000
02:45:00.000Z,03:00:00.000Z,17.203117038892664,0.28361344537815125,,,,,,,,,,,,,,,,,900000
03:00:00.000Z,03:15:00.000Z,17.203117421638208,0.28361344537815125,,,,,,,,,,,,,,,,720000,180000
03:15:00.000Z,03:30:00.000Z,17.203117539332464,0.28361344537815125,,,,,,,,,,,,,,,,840000,60000
03:30:00.000Z,03:45:00.000Z,17.203117656707764,0.28361344537815125,,,,,,,,,,,,,,,,360000,540000
03:45:00.000Z,04:00:00.000Z,17.20311737060547,0.28361344537815125,,,,,,,,,,,,,,,,900000,
04:00:00.000Z,04:15:00.000Z,17.20311737060547,0.28361344537815125,-33.863613,18.6842114,-33.8635421,18.6842185,,,,,,,,,,,,900000,
04:15:00.000Z,04:30:00.000Z,17.20311737060547,0.28361344537815125,,,,,,,,,,,,,,,,900000,
04:30:00.000Z,04:45:00.000Z,17.20311737060547,0.28361344537815125,,,,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,17.20311737060547,0.28361344537815125,,,,,,,,,,,,,,,,900000,
05:00:00.000Z,05:15:00.000Z,17.20311737060547,0.28361344537815125,-33.8636047,18.6842146,-33.8636047,18.6842146,,,,,,,,,,,,900000,
05:15:00.000Z,05:30:00.000Z,17.20311737060547,0.28361344537815125,-33.8635372,18.6842111,-33.8635372,18.6842111,,,,,,,,,,,,900000,
05:30:00.000Z,05:45:00.000Z,17.20311737060547,0.28361344537815125,,,,,,,,,,,,,,,,900000,
05:45:00.000Z,06:00:00.000Z,24.941360569000246,23.72689075630252,,,,,,,,36,,,,,240000,120000,,540000,
