Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
10:30:00.000Z,10:45:00.000Z,17.05729050790022,17.5531914893617,,,,,,,,27,,,,,900000,,,,
10:45:00.000Z,11:00:00.000Z,21.84151480123265,17.5531914893617,,,,,,,,26,,,,,824263,75737,,,
11:00:00.000Z,11:15:00.000Z,17.05729103088379,17.5531914893617,,,,,,,,27,,,,,900000,,,,
11:15:00.000Z,11:30:00.000Z,17.05729103088379,17.5531914893617,,,,,,,,27,,,,,900000,,,,
11:30:00.000Z,11:45:00.000Z,17.05729103088379,17.5531914893617,,,,,,,,27,,,,,900000,,,,
11:45:00.000Z,12:00:00.000Z,17.057290822470705,17.5531914893617,,,,,,,,27,,,,,900000,,,,
12:00:00.000Z,12:15:00.000Z,17.05729047656582,17.5531914893617,,,,,,,,27,,,,,900000,,,,
12:15:00.000Z,12:30:00.000Z,7.359374920659943,191.33333333333331,,,,,0.22777777910232544,0.22777777910232544,0.22777777910232544,291,,,,,60000,840000,,,
12:30:00.000Z,12:45:00.000Z,9.629935353652106,205.54548892089585,-33.9774679,18.4652294,-33.9774317,18.4653327,1.08978271484375,1.08978271484375,1.08978271484375,272,,,,,95022,804978,,,
12:45:00.000Z,13:00:00.000Z,17.05729103088379,9.873417721518988,,,,,,,,15,,,,,900000,,,,
13:00:00.000Z,13:15:00.000Z,17.05729103088379,9.873417721518988,,,,,,,,15,,,,,900000,,,,
13:15:00.000Z,13:30:00.000Z,17.05729103088379,9.873417721518988,,,,,,,,15,,,,,900000,,,,
13:30:00.000Z,13:45:00.000Z,17.05729103088379,9.873417721518988,,,,,,,,15,,,,,900000,,,,
13:45:00.000Z,14:00:00.000Z,17.05729103088379,9.873417721518988,,,,,,,,15,,,,,900000,,,,
14:00:00.000Z,14:15:00.000Z,17.05729103088379,9.873417721518988,,,,,0.010970463044941425,0.010970463044941425,0.010970463044941425,15,,,,,900000,,,,
14:15:00.000Z,14:30:00.000Z,17.05729103088379,9.873417721518988,,,,,,,,15,,,,,900000,,,,
14:30:00.000Z,14:45:00.000Z,17.057291103311726,9.873417721518988,,,,,,,,15,,,,,900000,,,,
14:45:00.000Z,15:00:00.000Z,17.05729171688434,9.873417721518988,,,,,,,,15,,,,,900000,,,,
15:00:00.000Z,15:15:00.000Z,22.355408490899674,9.873417721518988,,,,,,,,15,,,,,816128,83872,,,
15:15:00.000Z,15:30:00.000Z,33.52446727688084,210.96377727351611,-33.977586,18.465172,-33.977487,18.4655779,0.42253048519041336,0.6466666460037231,0.06039198487997055,302,,,,5,259698,255708,300000,,
15:30:00.000Z,15:45:00.000Z,16.548611089586128,436.0,-33.977752,18.465213,-33.9773782,18.4658201,0.33030304312705994,0.6606060862541199,0.0,657,,,,11,76812,660000,,,
15:45:00.000Z,16:00:00.000Z,15.193495088153416,325.77745379341974,-33.9778723,18.465183,-33.9770559,18.4656732,0.48510234292053267,0.5912787914276123,0.3759259283542633,482,,,,14,64114,835886,,,
16:00:00.000Z,16:15:00.000Z,14.982638035845774,112.77777777777779,-33.9773141,18.4636454,-33.9700094,18.4669302,,,,166,,,,5,,300000,,,
16:15:00.000Z,16:30:00.000Z,17.057290387101997,,,,,,,,,,,,,,,,,,
16:30:00.000Z,16:45:00.000Z,18.240648650431325,,,,,,,,,21,,,,,778651,18733,,,
16:45:00.000Z,17:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,
17:00:00.000Z,17:15:00.000Z,17.05729103088379,,,,,,,,,2,,,,,900000,,,,
17:15:00.000Z,17:30:00.000Z,17.05729103088379,,,,,,,,,2,,,,,900000,,,,
17:30:00.000Z,17:45:00.000Z,17.05729103088379,,,,,,,,,4,,,,,900000,,,,
17:45:00.000Z,18:00:00.000Z,17.05729103088379,,,,,,,,,6,,,,,900000,,,,
18:00:00.000Z,18:15:00.000Z,17.05729103088379,,,,,,,,,3,,,,,900000,,,,
18:15:00.000Z,18:30:00.000Z,17.05729103088379,,,,,,,,,2,,,,,900000,,,,
18:30:00.000Z,18:45:00.000Z,17.05729103088379,,,,,,,,,4,,,,,900000,,,,
18:45:00.000Z,19:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,
19:00:00.000Z,19:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,
19:15:00.000Z,19:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,
19:30:00.000Z,19:45:00.000Z,17.05729099296919,,,,,,,,,,,,,,900000,,,,
19:45:00.000Z,20:00:00.000Z,17.057290987060384,,,,,,,,,,,,,,900000,,,,
20:00:00.000Z,20:15:00.000Z,17.057290987060384,,,,,,,,,13,,,,,900000,,,,
20:15:00.000Z,20:30:00.000Z,17.057291240101808,,-33.8635481,18.6842339,-33.8635481,18.6842339,,,,0,,,,,180000,,,720000,
20:30:00.000Z,20:45:00.000Z,17.057291303362163,,,,,,,,,,,,,,,,,900000,
20:45:00.000Z,21:00:00.000Z,17.057290731157575,,-33.8635923,18.6842987,-33.8635923,18.6842987,,,,,,,,,,,,480000,420000
21:00:00.000Z,21:15:00.000Z,17.057290378369782,,,,,,,,,,,,,,,,,600000,300000
21:15:00.000Z,21:30:00.000Z,17.0572923359118,,,,,,,,,,,,,,,,,,900000
21:30:00.000Z,21:45:00.000Z,17.0572923359118,,,,,,,,,,,,,,,,,,900000
21:45:00.000Z,22:00:00.000Z,17.05729164092647,,,,,,,,,,,,,,,,,540000,360000
22:00:00.000Z,22:15:00.000Z,17.057291177602913,,,,,,,,,,,,,,,,,900000,
22:15:00.000Z,22:30:00.000Z,17.057290414663463,,,,,,,,,,,,,,600000,,,300000,
22:30:00.000Z,22:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000,
22:45:00.000Z,23:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000,
23:00:00.000Z,23:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,,,,900000,
23:15:00.000Z,23:30:00.000Z,17.057290840148926,,,,,,,,,,,,,,,,,900000,
23:30:00.000Z,23:45:00.000Z,17.057290077209473,,,,,,,,,,,,,,,,,900000,
23:45:00.000Z,00:00:00.000Z,17.057290077209473,,-33.8635584,18.684262,-33.8635584,18.684262,,,,,,,,,,,,900000,
