Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms)
00:00:00.000Z,00:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
00:15:00.000Z,00:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
00:30:00.000Z,00:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
01:00:00.000Z,01:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
01:15:00.000Z,01:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
01:45:00.000Z,02:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
02:45:00.000Z,03:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
03:00:00.000Z,03:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
03:45:00.000Z,04:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
04:00:00.000Z,04:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
04:15:00.000Z,04:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
04:30:00.000Z,04:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
04:45:00.000Z,05:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
05:00:00.000Z,05:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
05:15:00.000Z,05:30:00.000Z,17.203117454809092,,,,,,,,,1,,,,,900000,
05:30:00.000Z,05:45:00.000Z,17.20311784459746,,,,,,,,,,,,,,900000,
05:45:00.000Z,06:00:00.000Z,17.20311784459746,,,,,,,,,0,,,,,900000,
06:00:00.000Z,06:15:00.000Z,17.20311784459746,,,,,,,,,7,,,,,900000,
06:15:00.000Z,06:30:00.000Z,21.38699220611412,4.532508850097656,,,,,,,,62,,,,1,802827,64881
06:30:00.000Z,06:45:00.000Z,17.203116820119295,,,,,,,,,,,,,,,
06:45:00.000Z,07:00:00.000Z,17.203116676879812,,,,,,,,,,,,,,,
07:00:00.000Z,07:15:00.000Z,17.203116764155684,,,,,,,,,53,,,,1,,
07:15:00.000Z,07:30:00.000Z,31.300107739452287,191.36507034301758,,,,,0.8740437009462191,1.7122234106063843,0.28058382868766785,367,,,,4,475156,213389
07:30:00.000Z,07:45:00.000Z,17.20311737060547,,,,,,,,,113,,,,1,900000,
07:45:00.000Z,08:00:00.000Z,17.20311737060547,,,,,,,,,1,,,,,900000,
08:00:00.000Z,08:15:00.000Z,17.20311737060547,,,,,,,,,4,,,,,900000,
08:15:00.000Z,08:30:00.000Z,17.20311737060547,,,,,,,,,1,,,,,900000,
08:30:00.000Z,08:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
08:45:00.000Z,09:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
09:00:00.000Z,09:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,
09:15:00.000Z,09:30:00.000Z,17.203117334790978,,,,,,,,,2,,,,,900000,
09:30:00.000Z,09:45:00.000Z,17.20311722760744,,,,,,,,,15,,,,,900000,
09:45:00.000Z,10:00:00.000Z,40.54797730756437,183.77146339416504,-33.9775911,18.4651406,-33.977498,18.4657135,0.7627415836983968,1.2053313255310059,0.3886853754520416,348,,,,5,537982,362018
10:00:00.000Z,10:15:00.000Z,51.21153379970264,225.10769352971985,-33.9776598,18.4651486,-33.9773837,18.4657668,0.7112500967363041,1.1604084968566895,0.2590004801750183,362,,,,5,372618,527382
10:15:00.000Z,10:30:00.000Z,25.651472916002383,21.770806693439937,-33.9774281,18.4657731,-33.9774281,18.4657731,1.4297503232955933,1.4297503232955933,1.4297503232955933,29,,,,,768988,131012
10:30:00.000Z,10:45:00.000Z,17.203116878336516,,,,,,,,,,,,,,900000,
10:45:00.000Z,11:00:00.000Z,17.203116878336516,,,,,,,,,1,,,,,900000,
11:00:00.000Z,11:15:00.000Z,24.202358028679352,44.677584648132324,,,,,0.744252473115921,0.7444644570350647,0.7440404891967773,72,,,,1,791460,108540
11:15:00.000Z,11:30:00.000Z,35.00423726754198,80.93765544891357,,,,,0.6093165786472468,0.7580757141113281,0.5070909857749939,135,,,,2,623951,276049
11:30:00.000Z,11:45:00.000Z,17.476922864661024,2.948978329377053,,,,,,,,8,,,,,895754,4246
11:45:00.000Z,12:00:00.000Z,35.7828310558139,198.02826223306192,,,,,0.9245408340495505,1.1688166856765747,0.14603888988494873,303,,,,4,611877,288123
12:00:00.000Z,12:15:00.000Z,17.2031192779541,,,,,,,,,21,,,,,900000,
12:15:00.000Z,12:30:00.000Z,17.2031192779541,,,,,,,,,17,,,,,900000,
12:30:00.000Z,12:45:00.000Z,17.2031192779541,,,,,,,,,,,,,,900000,
